,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
41238,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,26.5,6.63,M,28
41249,C2B,Airlines,Online,Silver Plan,Yes,28,SINGAPORE,88.5,22.13,F,30
41250,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,47.5,11.88,M,44
41419,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,21.0,5.25,F,28
41496,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,11,"KOREA, REPUBLIC OF",69.0,0.0,,36
41653,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,19,THAILAND,39.6,23.76,,50
42031,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,53.0,13.25,F,30
42036,C2B,Airlines,Online,Bronze Plan,Yes,28,SINGAPORE,56.5,14.13,F,24
42136,EPX,Travel Agency,Online,Cancellation Plan,Yes,6,FRANCE,43.0,0.0,,36
42186,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,F,68
42193,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,40.0,10.0,M,31
42200,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,22.5,5.63,M,23
42330,EPX,Travel Agency,Online,Cancellation Plan,Yes,28,SINGAPORE,10.0,0.0,,32
42373,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,33.5,8.38,F,35
42389,C2B,Airlines,Online,Silver Plan,Yes,13,SINGAPORE,48.5,12.13,F,42
42642,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,F,25
42643,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,21.0,5.25,F,30
42658,C2B,Airlines,Online,Gold Plan,Yes,27,SINGAPORE,69.0,17.25,M,33
42823,C2B,Airlines,Online,Bronze Plan,Yes,18,SINGAPORE,60.0,15.0,F,36
43202,C2B,Airlines,Online,Bronze Plan,Yes,16,SINGAPORE,16.0,4.0,F,42
43256,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,5,CHINA,46.0,0.0,,36
43365,C2B,Airlines,Online,Bronze Plan,Yes,26,SINGAPORE,27.0,6.75,M,58
43396,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,16,THAILAND,29.7,17.82,,27
43682,C2B,Airlines,Online,Silver Plan,Yes,19,SINGAPORE,72.0,18.0,M,33
43875,C2B,Airlines,Online,Gold Plan,Yes,19,SINGAPORE,105.6,26.4,M,65
43962,EPX,Travel Agency,Online,Cancellation Plan,Yes,28,SPAIN,10.0,0.0,,36
44073,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,13,UNITED KINGDOM,99.0,59.4,,56
44738,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,16.0,4.0,F,26
44920,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,60.0,15.0,M,45
44930,C2B,Airlines,Online,Bronze Plan,Yes,26,SINGAPORE,20.0,5.0,F,27
44932,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,29.5,7.38,F,38
45203,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,8,CHINA,34.0,0.0,,36
45313,C2B,Airlines,Online,Bronze Plan,Yes,27,SINGAPORE,60.0,15.0,M,30
45325,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,20.0,5.0,F,29
45331,C2B,Airlines,Online,Silver Plan,Yes,24,SINGAPORE,144.0,36.0,F,42
45369,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,14,CZECH REPUBLIC,128.7,77.22,,41
45842,C2B,Airlines,Online,Bronze Plan,Yes,26,SINGAPORE,39.0,9.75,F,37
45856,C2B,Airlines,Online,Silver Plan,Yes,9,SINGAPORE,39.0,9.75,M,30
45857,C2B,Airlines,Online,Silver Plan,Yes,29,SINGAPORE,81.5,20.38,M,28
45872,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,10,ITALY,99.0,59.4,,35
45891,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,14,CHINA,30.0,0.0,,36
46078,C2B,Airlines,Online,Silver Plan,Yes,29,SINGAPORE,27.0,6.75,F,33
46260,C2B,Airlines,Online,Bronze Plan,Yes,20,SINGAPORE,27.0,6.75,M,36
46574,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,26,"KOREA, REPUBLIC OF",50.0,0.0,,36
46752,C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,62.0,15.5,F,26
46920,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,60.0,15.0,F,67
47091,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,3,MALAYSIA,27.0,17.55,M,32
47354,SSI,Airlines,Online,Ticket Protector,Yes,28,SINGAPORE,9.13,2.56,,48
47660,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,15,JAPAN,44.0,0.0,,36
47768,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,F,29
47773,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,M,37
47787,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,39.0,9.75,F,31
48024,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,18,AUSTRALIA,69.3,41.58,,32
48210,C2B,Airlines,Online,Bronze Plan,Yes,7,SINGAPORE,19.2,4.8,F,26
48219,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,27.0,6.75,F,64
48224,C2B,Airlines,Online,Silver Plan,Yes,17,SINGAPORE,48.5,12.13,F,56
48225,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,47.5,11.88,M,33
48226,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,39.0,9.75,F,24
48418,CCR,Travel Agency,Offline,Comprehensive Plan,Yes,4,MALAYSIA,29.0,9.57,M,25
48429,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,F,26
48436,C2B,Airlines,Online,Bronze Plan,Yes,25,SINGAPORE,80.5,20.13,M,32
49075,EPX,Travel Agency,Online,Cancellation Plan,Yes,21,MALAYSIA,12.0,0.0,,26
49280,EPX,Travel Agency,Online,Cancellation Plan,Yes,22,CHINA,29.0,0.0,,36
49403,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,26.5,6.63,F,28
49752,C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,37.0,9.25,M,28
49963,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,12,CHINA,32.0,0.0,,36
49973,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,15,THAILAND,21.0,0.0,,36
50036,KML,Travel Agency,Online,Premier Plan,Yes,8,SWITZERLAND,86.0,32.68,M,48
50061,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,20.0,5.0,M,52
50197,C2B,Airlines,Online,Bronze Plan,Yes,3,SINGAPORE,19.2,4.8,M,41
50529,C2B,Airlines,Online,Bronze Plan,Yes,2,SINGAPORE,27.0,6.75,F,22
50550,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,8,MALAYSIA,49.5,29.7,,38
50901,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,Yes,5,CHINA,42.0,27.3,M,46
50952,C2B,Airlines,Online,Silver Plan,Yes,6,SINGAPORE,29.0,7.25,F,34
51143,C2B,Airlines,Online,Bronze Plan,Yes,2,SINGAPORE,27.0,6.75,F,37
51336,C2B,Airlines,Online,Silver Plan,Yes,4,SINGAPORE,29.0,7.25,M,40
51490,C2B,Airlines,Online,Silver Plan,Yes,5,SINGAPORE,22.5,5.63,F,34
51654,C2B,Airlines,Online,Silver Plan,Yes,27,SINGAPORE,18.5,4.63,F,28
51725,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,27,INDONESIA,22.0,0.0,,36
51797,KML,Travel Agency,Online,Value Plan,Yes,27,INDONESIA,28.0,10.64,M,48
51843,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,16.0,4.0,F,40
51844,C2B,Airlines,Online,Bronze Plan,Yes,21,SINGAPORE,53.0,13.25,M,28
51854,C2B,Airlines,Online,Silver Plan,Yes,20,SINGAPORE,72.0,18.0,F,29
52167,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,21.0,5.25,F,32
52255,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,25,TURKEY,79.0,0.0,,36
52364,JZI,Airlines,Online,Basic Plan,Yes,27,INDONESIA,22.0,7.7,M,39
52593,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,21.0,5.25,M,38
52604,C2B,Airlines,Online,Bronze Plan,Yes,24,SINGAPORE,26.5,6.63,M,55
52618,C2B,Airlines,Online,Silver Plan,Yes,5,SINGAPORE,22.5,5.63,F,37
52619,C2B,Airlines,Online,Silver Plan,Yes,15,SINGAPORE,48.5,12.13,F,34
52627,C2B,Airlines,Online,Gold Plan,Yes,5,SINGAPORE,27.5,6.88,M,26
52814,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,29.5,7.38,M,45
52874,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,18,INDIA,36.0,0.0,,36
53097,KML,Travel Agency,Online,Premier Plan,Yes,21,INDONESIA,38.0,14.44,F,48
53137,C2B,Airlines,Online,Silver Plan,Yes,21,SINGAPORE,27.0,6.75,M,72
53211,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,5,"TAIWAN, PROVINCE OF CHINA",45.0,0.0,,36
53310,JZI,Airlines,Online,Basic Plan,Yes,11,VIET NAM,18.0,6.3,M,63
53323,CCR,Travel Agency,Offline,Comprehensive Plan,Yes,18,MALAYSIA,29.0,9.57,F,49
53338,C2B,Airlines,Online,Bronze Plan,Yes,21,SINGAPORE,16.0,4.0,F,32
53347,C2B,Airlines,Online,Bronze Plan,Yes,7,SINGAPORE,20.0,5.0,F,38
53593,C2B,Airlines,Online,Silver Plan,Yes,9,SINGAPORE,29.5,7.38,F,32
53598,C2B,Airlines,Online,Gold Plan,Yes,16,SINGAPORE,88.0,22.0,M,39
53993,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,16.0,4.0,M,55
54007,C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,29.5,7.38,F,30
54144,KML,Travel Agency,Online,Value Plan,Yes,17,INDONESIA,28.0,10.64,F,48
54190,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,29.5,7.38,M,30
54291,EPX,Travel Agency,Online,Cancellation Plan,Yes,8,INDONESIA,12.0,0.0,,45
54512,C2B,Airlines,Online,Bronze Plan,Yes,22,SINGAPORE,69.5,17.38,F,30
54514,C2B,Airlines,Online,Silver Plan,Yes,28,SINGAPORE,39.0,9.75,F,59
54515,C2B,Airlines,Online,Silver Plan,Yes,28,SINGAPORE,39.0,9.75,F,61
54695,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,Yes,29,UNITED KINGDOM,47.0,30.55,F,38
54759,C2B,Airlines,Online,Silver Plan,Yes,27,SINGAPORE,47.5,11.88,F,28
54821,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,12,CHINA,36.0,0.0,,36
54919,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,10,JAPAN,36.5,23.73,M,33
54920,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,10,JAPAN,36.5,23.73,F,30
54930,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,Yes,22,"KOREA, REPUBLIC OF",26.5,17.23,F,76
54979,C2B,Airlines,Online,Silver Plan,Yes,12,SINGAPORE,48.5,12.13,F,31
55165,C2B,Airlines,Online,Bronze Plan,Yes,18,SINGAPORE,21.0,5.25,F,38
55171,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,29.5,7.38,M,52
55227,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,29,THAILAND,35.0,0.0,,36
55364,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,16.0,4.0,M,21
55366,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,27.0,6.75,F,30
55375,C2B,Airlines,Online,Bronze Plan,Yes,9,SINGAPORE,20.0,5.0,M,21
55431,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,7,MALAYSIA,39.0,0.0,,32
55561,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,25.2,6.3,F,41
55563,C2B,Airlines,Online,Bronze Plan,Yes,15,SINGAPORE,67.0,16.75,M,34
55715,C2B,Airlines,Online,Bronze Plan,Yes,15,SINGAPORE,60.0,15.0,M,16
55726,C2B,Airlines,Online,Bronze Plan,Yes,9,SINGAPORE,20.0,5.0,F,17
55738,C2B,Airlines,Online,Bronze Plan,Yes,19,SINGAPORE,45.5,11.38,F,30
55893,C2B,Airlines,Online,Bronze Plan,Yes,27,SINGAPORE,86.0,21.5,F,50
55912,C2B,Airlines,Online,Silver Plan,Yes,9,SINGAPORE,22.5,5.63,M,32
55915,C2B,Airlines,Online,Silver Plan,Yes,19,SINGAPORE,22.5,5.63,M,22
55958,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,22,GREECE,29.7,17.82,,35
56066,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,Yes,12,UNITED STATES,67.0,43.55,F,39
56078,JZI,Airlines,Online,Basic Plan,Yes,25,CHINA,35.0,12.25,M,50
56109,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,16.0,4.0,M,31
56116,C2B,Airlines,Online,Bronze Plan,Yes,19,SINGAPORE,60.0,15.0,F,31
56310,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,13,AUSTRALIA,99.0,59.4,,31
56485,C2B,Airlines,Online,Bronze Plan,Yes,25,SINGAPORE,67.0,16.75,M,31
56497,C2B,Airlines,Online,Silver Plan,Yes,15,SINGAPORE,62.0,15.5,F,26
56505,C2B,Airlines,Online,Gold Plan,Yes,6,SINGAPORE,33.5,8.38,F,51
56506,C2B,Airlines,Online,Gold Plan,Yes,6,SINGAPORE,33.5,8.38,M,50
56669,KML,Travel Agency,Offline,Premier Plan,Yes,2,INDONESIA,29.0,11.02,M,35
56806,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,4,MALAYSIA,25.0,16.25,M,64
56857,C2B,Airlines,Online,Bronze Plan,Yes,20,SINGAPORE,16.0,4.0,M,32
56983,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,16.0,4.0,F,29
57004,C2B,Airlines,Online,Silver Plan,Yes,2,SINGAPORE,18.5,4.63,F,37
57157,C2B,Airlines,Online,Bronze Plan,Yes,13,SINGAPORE,40.0,10.0,F,27
57158,C2B,Airlines,Online,Bronze Plan,Yes,28,SINGAPORE,50.0,12.5,M,36
57171,C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,74.4,18.6,F,27
57172,C2B,Airlines,Online,Silver Plan,Yes,18,SINGAPORE,29.5,7.38,M,53
57335,C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,47.5,11.88,M,22
57337,C2B,Airlines,Online,Silver Plan,Yes,19,SINGAPORE,46.8,11.7,F,35
57457,EPX,Travel Agency,Online,Cancellation Plan,Yes,6,JAPAN,17.0,0.0,,36
57643,EPX,Travel Agency,Online,Cancellation Plan,Yes,15,JAPAN,37.0,0.0,,36
57736,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,M,23
57737,C2B,Airlines,Online,Bronze Plan,Yes,19,SINGAPORE,72.0,18.0,F,71
57738,C2B,Airlines,Online,Bronze Plan,Yes,18,SINGAPORE,39.0,9.75,F,29
57749,C2B,Airlines,Online,Silver Plan,Yes,17,SINGAPORE,56.5,14.13,M,20
58011,C2B,Airlines,Online,Bronze Plan,Yes,6,SINGAPORE,21.0,5.25,F,39
58215,C2B,Airlines,Online,Silver Plan,Yes,15,SINGAPORE,22.5,5.63,F,29
58380,C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,72.0,18.0,F,46
58761,C2B,Airlines,Online,Bronze Plan,Yes,8,SINGAPORE,27.0,6.75,M,26
58793,C2B,Airlines,Online,Gold Plan,Yes,21,SINGAPORE,69.5,17.38,F,83
58896,EPX,Travel Agency,Online,Cancellation Plan,Yes,22,VIET NAM,17.0,0.0,,32
58945,TST,Travel Agency,Offline,Travel Cruise Protect,Yes,17,MALAYSIA,30.0,10.5,M,58
58985,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,14,MALAYSIA,19.8,11.88,,25
59146,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,F,40
59361,C2B,Airlines,Online,Bronze Plan,Yes,2,SINGAPORE,13.5,3.38,M,37
59418,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,4,INDIA,50.0,0.0,,35
60031,C2B,Airlines,Online,Bronze Plan,Yes,29,SINGAPORE,26.5,6.63,F,45
60131,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,27,VIET NAM,33.0,0.0,,36
60253,C2B,Airlines,Online,Bronze Plan,Yes,3,SINGAPORE,13.5,3.38,F,37
60256,C2B,Airlines,Online,Bronze Plan,Yes,14,SINGAPORE,33.5,8.38,F,32
60427,C2B,Airlines,Online,Bronze Plan,Yes,18,SINGAPORE,33.5,8.38,F,31
60429,C2B,Airlines,Online,Bronze Plan,Yes,25,SINGAPORE,26.5,6.63,M,27
60632,C2B,Airlines,Online,Silver Plan,Yes,13,SINGAPORE,48.5,12.13,M,27
60766,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,33.5,8.38,F,25
60887,JZI,Airlines,Online,Value Plan,Yes,7,THAILAND,33.0,11.55,M,49
61014,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,12,"TAIWAN, PROVINCE OF CHINA",36.5,23.73,F,65
61036,C2B,Airlines,Online,Bronze Plan,Yes,3,SINGAPORE,19.2,4.8,M,24
61099,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,28,HONG KONG,24.0,0.0,,41
61195,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,Yes,17,MALAYSIA,37.5,24.38,F,23
61221,C2B,Airlines,Online,Bronze Plan,Yes,25,SINGAPORE,45.5,11.38,M,37
61239,C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,29.5,7.38,M,37
61249,C2B,Airlines,Online,Silver Plan,Yes,6,SINGAPORE,22.5,5.63,F,33
61424,C2B,Airlines,Online,Bronze Plan,Yes,17,SINGAPORE,27.0,6.75,F,41
61632,EPX,Travel Agency,Offline,2 way Comprehensive Plan,Yes,17,AUSTRALIA,68.0,0.0,,55
61836,C2B,Airlines,Online,Bronze Plan,Yes,9,SINGAPORE,20.0,5.0,F,42
61986,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,F,48
62375,C2B,Airlines,Online,Bronze Plan,Yes,11,SINGAPORE,20.0,5.0,F,28
62540,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,Yes,15,HONG KONG,42.0,27.3,F,54
62569,C2B,Airlines,Online,Bronze Plan,Yes,4,SINGAPORE,16.0,4.0,M,26
62805,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,27.0,6.75,F,28
62832,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,6,THAILAND,39.6,23.76,,31
62958,C2B,Airlines,Online,Bronze Plan,Yes,21,SINGAPORE,24.0,6.0,M,50
62964,C2B,Airlines,Online,Bronze Plan,Yes,9,SINGAPORE,20.0,5.0,F,46
63199,C2B,Airlines,Online,Bronze Plan,Yes,7,SINGAPORE,20.0,5.0,M,30
63206,C2B,Airlines,Online,Bronze Plan,Yes,27,SINGAPORE,60.0,15.0,F,30
63208,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,21.0,5.25,M,28
